"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0015C06S","1984","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       162","T","       162","T","        24","T","","","","","","","","","","","","","","","","","  94.0"," ,T,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   2124.5"," ,T","","","","","",""
"USS0015C06S","1985","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       139","T","       139","T","        11","T","","","","","","","       141","T","        45","T","         0","T","","","","","  50.8"," ,T,0529, ","   31.3","T,0709, ","","","","","","","","","","","","","","","","","","","","","","","","","   1433.9"," ,T","","","      4.88","T","",""
"USS0015C06S","1986","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       158","T","       158","T","        14","T","","","","","","","        62","T","        65","T","         0","T","","","","","  78.7"," ,T,0222, ","   31.4","T,0828, ","","","","","","","","","","","","","","","","","","","","","","","","","   1701.0"," ,T","","","      9.84","T","",""
"USS0015C06S","1987","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       120","T","       120","T","         6","T","","","","","","","        75","T","        76","T","         0","T","","","","","  43.2"," ,T,0131, ","   29.6","T,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","   1113.7"," ,T","","","     10.62","T","",""
"USS0015C06S","1988","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       156","T","       156","T","        14","T","","","","","","","        93","T","        76","T","         1","T","","","","","  63.5"," ,T,1016, ","   33.5","T,0903, ","","","","","","","","","","","","","","","","","","","","","","","","","   1692.9"," ,T","","","      9.73","T","",""
"USS0015C06S","1989","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     38.6","","      38.6","T","       178","T","       178","T","        14","T","","","         5","T","       175","T","        86","T","        57","T","         0","T","  -32.0","T,0203, ","","","  61.0"," ,T,0224, ","   29.6","T,0719, ","-3.0","T,1002","-3.0","T,1002","-6.0","T,1028","-7.6","T,1029","-9.7","T,1127","-0.8","T,0620","-3.3","T,0524","-5.4","T,0409","-8.4","T,0401","-14.8","T,0304","","","","","   1702.6"," ,T","      4.35","T","      8.63","T","      0.08","T"
"USS0015C06S","1990","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       191","T","       191","T","        26","T","","","","","","","","","","","","","","","","","  68.6"," ,T,1104, ","","","","","","","","","","","","","","","","","","","","","","","    4565.0","0","    4565.0"," ","   2251.7"," ,T","","","","","",""
"USS0015C06S","1991","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       160","T","       160","T","        16","T","","","","","","","        99","T","        56","T","         0","T","","","","","  43.2"," ,T,1125,+","   29.7","T,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","   1726.0"," ,T","","","      8.52","T","",""
"USS0015C06S","1992","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       142","T","       142","T","        14","T","","","","","","","        80","T","        61","T","         0","T","","","","","  76.2"," ,T,0924, ","   30.9","T,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","   1563.1"," ,T","","","      9.57","T","",""
"USS0015C06S","1993","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","","","","","       173","T","       173","T","         9","T","","","","","","","","","","","","","","","","","  33.0"," ,T,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1502.1"," ,T","","","","","",""
"USS0015C06S","1994","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     95.8","","      95.8","T","       148","T","       148","T","        15","T","","","         0","T","       182","T","        94","T","        79","T","         1","T","  -16.7","T,1121, ","","","  83.8"," ,T,0223, ","   32.7","T,0814, ","-2.6","T,1002","-2.6","T,1002","-6.5","T,1029","-8.8","T,1102","-10.6","T,1103","-0.4","T,0616","-2.8","T,0501","-5.2","T,0428","-7.1","T,0324","-9.7","T,0323","","","","","   1683.0"," ,T","      5.02","T","      9.39","T","      0.66","T"
"USS0015C06S","1995","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     28.4","","      28.4","T","       201","T","       201","T","        20","T","","","         3","T","       190","T","        70","T","        43","T","         0","T","  -19.7","T,0213, ","","","  58.4"," ,T,1128, ","   27.5","T,0728, ","-1.3","T,0921","-2.8","T,1004","-5.9","T,1029","-7.5","T,1030","-10.3","T,1031","-3.6","T,0607","-3.6","T,0607","-5.5","T,0420","-9.3","T,0415","-9.3","T,0415","    5031.8","8","    5031.8","T","   2249.7"," ,T","      4.41","T","      8.52","T","      0.29","T"
"USS0015C06S","1996","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     82.7","","      82.7","T","       193","T","       193","T","        24","T","","","         8","T","       209","T","       108","T","        54","T","         0","T","  -22.0","T,0130, ","","","  58.4"," ,T,0116, ","   30.0","T,0810, ","-0.4","T,0919","-2.4","T,0922","-6.9","T,1016","-6.9","T,1016","-9.6","T,1020","-1.4","T,0619","-2.6","T,0618","-4.8","T,0509","-7.1","T,0330","-8.9","T,0329","    5350.0","0","    5350.0","T","   2338.2"," ,T","      3.70","T","      7.76","T","     -0.36","T"
"USS0015C06S","1997","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     25.7","","      25.7","T","       179","T","       179","T","        28","T","","","         3","T","       193","T","        95","T","        41","T","         0","T","  -20.9","T,0112, ","","","  61.0"," ,T,0214, ","   30.3","T,0803, ","-1.4","T,1006","-2.8","T,1007","-5.1","T,1012","-7.2","T,1202","-10.0","T,1210","-0.2","T,0622","-2.6","T,0504","-5.1","T,0502","-13.0","T,0411","-13.0","T,0411","    5344.6","6","    5344.6","T","   2348.3"," ,T","      4.14","T","      8.17","T","      0.11","T"
"USS0015C06S","1998","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","    132.8","","     132.8","T","       173","T","       173","T","        19","T","","","         6","T","       195","T","        94","T","        65","T","         0","T","  -28.6","T,1220, ","","","  63.5"," ,T,1227, ","   31.1","T,0805, ","-0.3","T,1002","-4.2","T,1015","-5.5","T,1016","-7.4","T,1109","-10.5","T,1203","-0.3","T,0626","-2.2","T,0527","-4.8","T,0425","-7.1","T,0329","-13.2","T,0307","    4982.5","5","    4982.5","T","   1877.9"," ,T","      4.99","T","      8.95","T","      1.02","T"
"USS0015C06S","1999","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     56.2","","      56.2","T","       146","T","       146","T","        22","T","","","         0","T","       198","T","       102","T","        49","T","         0","T","  -12.9","T,0124, ","","","  68.6"," ,T,1125, ","   30.7","T,0818, ","-0.2","T,0830","-2.8","T,0926","-5.2","T,1015","-7.6","T,1122","-9.7","T,1203","-0.3","T,0625","-2.3","T,0609","-5.0","T,0510","-6.9","T,0509","-9.6","T,0410","    5220.3","3","    5220.3","T","   1901.7"," ,T","      4.36","T","      8.45","T","      0.26","T"
"USS0015C06S","2000","46.48","-115.63","1770.9","HEMLOCK BUTTE, ID US","     64.9","","      64.9","T","       140","T","       140","T","        13","T","      233","","         0","T","       195","T","        88","T","        47","T","         0","T","  -15.9","T,1215, ","  3353"," ,T,0329, ","  61.0"," ,T,0930, ","   30.7","T,0809, ","-4.9","T,0921","-4.9","T,0921","-4.9","T,0921","-7.0","T,0923","-13.2","T,1109","-1.3","T,0611","-3.1","T,0512","-4.7","T,0510","-6.7","T,0407","-9.4","T,0320","    4844.7","7","    4844.7","T","   1604.1"," ,T","      4.37","T","      8.36","T","      0.38","T"
